Index,Product.Name,Product.Code,Sector.Group,Food
58,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials,p20,M_bio_products,Non-Food
59,"Wood material for treatment, Re-processing of secondary wood material into new wood material",p20.w,M_bio_products,Non-Food
60,Pulp,p21.1,M_bio_products,Non-Food
61,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",p21.w.1,M_bio_products,Non-Food
62,Paper and paper products,p21.2,M_bio_products,Non-Food
63,Printed matter and recorded media,p22,M_bio_products,Non-Food
64,Coke Oven Coke,p23.1.a,M_fossil_products,Non-Food
65,Gas Coke,p23.1.b,M_fossil_products,Non-Food
66,Coal Tar,p23.1.c,M_fossil_products,Non-Food
67,Motor Gasoline,p23.20.a,M_fossil_products,Non-Food
68,Aviation Gasoline,p23.20.b,M_fossil_products,Non-Food
69,Gasoline Type Jet Fuel,p23.20.c,M_fossil_products,Non-Food
70,Kerosene Type Jet Fuel,p23.20.d,M_fossil_products,Non-Food
71,Kerosene,p23.20.e,M_fossil_products,Non-Food
72,Gas/Diesel Oil,p23.20.f,M_fossil_products,Non-Food
73,Heavy Fuel Oil,p23.20.g,M_fossil_products,Non-Food
74,Refinery Gas,p23.20.h,M_fossil_products,Non-Food
75,Liquefied Petroleum Gases (LPG),p23.20.i,M_fossil_products,Non-Food
76,Refinery Feedstocks,p23.20.j,M_fossil_products,Non-Food
77,Ethane,p23.20.k,M_fossil_products,Non-Food
78,Naphtha,p23.20.l,M_fossil_products,Non-Food
79,White Spirit & SBP,p23.20.m,M_fossil_products,Non-Food
80,Lubricants,p23.20.n,M_fossil_products,Non-Food
81,Bitumen,p23.20.o,M_fossil_products,Non-Food
82,Paraffin Waxes,p23.20.p,M_fossil_products,Non-Food
83,Petroleum Coke,p23.20.q,M_fossil_products,Non-Food
84,Non-specified Petroleum Products,p23.20.r,M_fossil_products,Non-Food
85,Nuclear fuel,p23.3,M_fossil_products,Non-Food
86,"Plastics, basic",p24.a,M_fossil_products,Non-Food
87,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",p24.a.w,M_fossil_products,Non-Food
88,N-fertiliser,p24.b,M_fossil_products,Non-Food
89,P- and other fertiliser,p24.c,M_fossil_products,Non-Food
90,Chemicals nec,p24.d,M_fossil_products,Non-Food
91,Charcoal,p24.e,M_fossil_products,Non-Food
92,Additives/Blending Components,p24.f,M_fossil_products,Non-Food
93,Biogasoline,p24.g,M_bio_products,Non-Food
94,Biodiesels,p24.h,M_bio_products,Non-Food
95,Other Liquid Biofuels,p24.i,M_bio_products,Non-Food
96,Rubber and plastic products,p25,M_fossil_products,Non-Food
97,Glass and glass products,p26.a,M_metal&mineral_products,Non-Food
98,"Secondary glass for treatment, Re-processing of secondary glass into new glass",p26.w.1,M_metal&mineral_products,Non-Food
99,Ceramic goods,p26.b,M_metal&mineral_products,Non-Food
100,"Bricks, tiles and construction products, in baked clay",p26.c,M_metal&mineral_products,Non-Food
101,"Cement, lime and plaster",p26.d,M_metal&mineral_products,Non-Food
102,"Ash for treatment, Re-processing of ash into clinker",p26.d.w,M_metal&mineral_products,Non-Food
103,Other non-metallic mineral products,p26.e,M_metal&mineral_products,Non-Food
104,Basic iron and steel and of ferro-alloys and first products thereof,p27.a,M_metal&mineral_products,Non-Food
105,"Secondary steel for treatment, Re-processing of secondary steel into new steel",p27.a.w,M_metal&mineral_products,Non-Food
106,Precious metals,p27.41,M_metal&mineral_products,Non-Food
107,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",p27.41.w,M_metal&mineral_products,Non-Food
108,Aluminium and aluminium products,p27.42,M_metal&mineral_products,Non-Food
109,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",p27.42.w,M_metal&mineral_products,Non-Food
110,"Lead, zinc and tin and products thereof",p27.43,M_metal&mineral_products,Non-Food
111,"Secondary lead for treatment, Re-processing of secondary lead into new lead",p27.43.w,M_metal&mineral_products,Non-Food
112,Copper products,p27.44,M_metal&mineral_products,Non-Food
113,"Secondary copper for treatment, Re-processing of secondary copper into new copper",p27.44.w,M_metal&mineral_products,Non-Food
114,Other non-ferrous metal products,p27.45,M_metal&mineral_products,Non-Food
115,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",p27.45.w,M_metal&mineral_products,Non-Food
116,Foundry work services,p27.5,M_metal&mineral_products,Non-Food
117,"Fabricated metal products, except machinery and equipment",p28,M_metal&mineral_products,Non-Food
118,Machinery and equipment n.e.c.,p29,M_metal&mineral_products,Non-Food
119,Office machinery and computers,p30,M_metal&mineral_products,Non-Food
120,Electrical machinery and apparatus n.e.c.,p31,M_metal&mineral_products,Non-Food
